countries,infected,deaths,recovered,active,death_rate,recovery_rate
Bahrain,688,4,423,261,0.6,61.5
Hungary,678,32,58,588,4.7,8.6
Bosnia and Herzegovina,623,21,31,571,3.4,5.0
Tunisia,553,19,5,529,3.4,0.9
Kazakhstan,531,5,36,490,0.9,6.8
Azerbaijan,521,5,32,484,1.0,6.1
Lebanon,520,17,54,449,3.3,10.4
Cameroon,509,8,17,484,1.6,3.3
Latvia,509,1,1,507,0.2,0.2
Bulgaria,503,17,34,452,3.4,6.8
North Macedonia,483,17,20,446,3.5,4.1
Kuwait,479,1,93,385,0.2,19.4
Slovakia,471,1,10,460,0.2,2.1
Andorra,466,17,21,428,3.6,4.5
Belarus,440,5,53,382,1.1,12.0
Costa Rica,435,2,13,420,0.5,3.0
Cyprus,426,11,33,382,2.6,7.7
Uruguay,386,4,86,296,1.0,22.3
Taiwan,355,5,50,300,1.4,14.1
Réunion,334,0,40,294,0.0,12.0
Albania,333,18,99,216,5.4,29.7
Jordan,323,5,74,244,1.5,22.9
Burkina Faso,318,16,66,236,5.0,20.8
Afghanistan,299,7,10,282,2.3,3.3
Cuba,288,6,15,267,2.1,5.2
Oman,277,2,61,214,0.7,22.0
Uzbekistan,266,2,25,239,0.8,9.4
Honduras,264,15,3,246,5.7,1.1
San Marino,251,32,26,193,12.7,10.4
Vietnam,240,0,90,150,0.0,37.5
Channel Islands,232,5,13,214,2.2,5.6
Senegal,219,2,72,145,0.9,32.9
Ivory Coast,218,1,19,198,0.5,8.7
Palestine,216,1,21,194,0.5,9.7
West Bank and Gaza,216,1,21,194,0.5,9.7
Malta,213,0,2,211,0.0,0.9
Nigeria,210,4,25,181,1.9,11.9
Ghana,205,5,31,169,2.4,15.1
Montenegro,201,2,1,198,1.0,0.5
Mauritius,196,7,0,189,3.6,0.0
Faroe Islands,181,0,93,88,0.0,51.4
Sri Lanka,166,5,27,134,3.0,16.3
Georgia,162,1,36,125,0.6,22.2
Venezuela,155,7,52,96,4.5,33.5
Congo (Kinshasa),148,16,3,129,10.8,2.0
Kyrgyzstan,144,1,9,134,0.7,6.2
Martinique,143,3,27,113,2.1,18.9
Bolivia,139,10,1,128,7.2,0.7
Brunei,135,1,66,68,0.7,48.9
Kosovo,135,1,16,118,0.7,11.9
Mayotte,134,2,14,118,1.5,10.4
Guadeloupe,134,7,24,103,5.2,17.9
Kenya,126,4,4,118,3.2,3.2
Isle of Man,126,1,0,125,0.8,0.0
Niger,120,5,0,115,4.2,0.0
Cambodia,114,0,50,64,0.0,43.9
Trinidad and Tobago,101,6,1,94,5.9,1.0
Gibraltar,98,0,52,46,0.0,53.1
Paraguay,96,3,12,81,3.1,12.5
Rwanda,89,0,0,89,0.0,0.0
Liechtenstein,77,0,0,77,0.0,0.0
Guinea,73,0,2,71,0.0,2.7
Madagascar,70,0,0,70,0.0,0.0
Bangladesh,70,8,30,32,11.4,42.9
Aruba,64,0,1,63,0.0,1.6
Monaco,64,1,3,60,1.6,4.7
French Guiana,57,0,22,35,0.0,38.6
Guatemala,57,2,15,40,3.5,26.3
El Salvador,56,3,0,53,5.4,0.0
Jamaica,53,3,7,43,5.7,13.2
Barbados,52,0,0,52,0.0,0.0
Djibouti,50,0,8,42,0.0,16.0
Uganda,48,0,0,48,0.0,0.0
Macau,43,0,10,33,0.0,23.3
Togo,41,3,17,21,7.3,41.5
Mali,41,3,1,37,7.3,2.4
Zambia,39,1,2,36,2.6,5.1
Ethiopia,38,0,4,34,0.0,10.5
Bermuda,35,0,14,21,0.0,40.0
Eritrea,29,0,0,29,0.0,0.0
Cayman Islands,29,1,1,27,3.4,3.4
Saint Martin,24,2,5,17,8.3,20.8
Bahamas,24,3,0,21,12.5,0.0
Sint Maarten,23,4,6,13,17.4,26.1
Guyana,23,4,0,19,17.4,0.0
Congo (Brazzaville),22,2,2,18,9.1,9.1
Myanmar,21,1,0,20,4.8,0.0
Gabon,21,1,1,19,4.8,4.8
Haiti,20,0,1,19,0.0,5.0
Tanzania,20,1,3,16,5.0,15.0
Maldives,19,0,13,6,0.0,68.4
New Caledonia,18,0,1,17,0.0,5.6
Guinea-Bissau,18,0,0,18,0.0,0.0
Libya,17,1,0,16,5.9,0.0
Equatorial Guinea,16,0,1,15,0.0,6.2
Syria,16,2,2,12,12.5,12.5
Benin,16,0,2,14,0.0,12.5
Antigua and Barbuda,15,0,0,15,0.0,0.0
Namibia,14,0,3,11,0.0,21.4
Dominica,14,0,0,14,0.0,0.0
Mongolia,14,0,2,12,0.0,14.3
Saint Lucia,13,0,1,12,0.0,7.7
Fiji,12,0,0,12,0.0,0.0
Grenada,12,0,0,12,0.0,0.0
Curaçao,11,1,3,7,9.1,27.3
Greenland,11,0,3,8,0.0,27.3
Mozambique,10,0,1,9,0.0,10.0
Liberia,10,1,3,6,10.0,30.0
Angola,10,2,2,6,20.0,20.0
Seychelles,10,0,0,10,0.0,0.0
Sudan,10,2,2,6,20.0,20.0
Laos,10,0,0,10,0.0,0.0
Suriname,10,1,0,9,10.0,0.0
Chad,9,0,0,9,0.0,0.0
Nepal,9,0,1,8,0.0,11.1
Zimbabwe,9,1,0,8,11.1,0.0
Saint Kitts and Nevis,9,0,0,9,0.0,0.0
MS Zaandam,9,2,0,7,22.2,0.0
Eswatini,9,0,0,9,0.0,0.0
CAR,8,0,0,8,0.0,0.0
Cabo Verde,7,1,0,6,14.3,0.0
St. Vincent Grenadines,7,0,1,6,0.0,14.3
Vatican City,7,0,0,7,0.0,0.0
Somalia,7,0,1,6,0.0,14.3
Montserrat,6,0,0,6,0.0,0.0
Mauritania,6,1,2,3,16.7,33.3
St. Barth,6,0,1,5,0.0,16.7
Nicaragua,5,1,0,4,20.0,0.0
Bhutan,5,0,2,3,0.0,40.0
Turks and Caicos,5,0,0,5,0.0,0.0
Belize,4,0,0,4,0.0,0.0
Botswana,4,1,0,3,25.0,0.0
Sierra Leone,4,0,0,4,0.0,0.0
Malawi,4,0,0,4,0.0,0.0
Gambia,4,1,2,1,25.0,50.0
Burundi,3,0,0,3,0.0,0.0
Anguilla,3,0,0,3,0.0,0.0
British Virgin Islands,3,0,0,3,0.0,0.0
Caribbean Netherlands,2,0,0,2,0.0,0.0
Papua New Guinea,1,0,0,1,0.0,0.0
Timor-Leste,1,0,0,1,0.0,0.0
Falkland Islands,1,0,0,1,0.0,0.0
Total,1189941,64072,244779,881090,5.4,20.6
