Country,in the past 28 red,in the past 28 white,totals red,totals white,rate
Central African Republic,0,0,14649,113,"303.31 per 100,000 "
Congo (Brazzaville),0,0,24079,385,"436.36 per 100,000 "
Diamond Princess,0,0,712,13," per 100,000 "
Holy See,0,0,29,0,"3,584.67 per 100,000 "
MS Zaandam,0,0,9,2," per 100,000 "
Nicaragua,0,4,18491,235,"279.13 per 100,000 "
Summer Olympics 2020,0,0,865,0," per 100,000 "
Tajikistan,0,0,17786,125,"186.48 per 100,000 "
Ukraine,0,0,5040518,112459,"11,525.46 per 100,000 "
Winter Olympics 2022,0,0,535,0," per 100,000 "
Equatorial Guinea,-91,0,15910,183,"1,134.01 per 100,000 "
"New York, US",192241,408,5220948,68449,"26,838.01 per 100,000 "
"California, US",152508,1139,9288293,90497,"23,507.39 per 100,000 "
"Florida, US",95801,522,6002153,74060,"27,945.93 per 100,000 "
"Illinois, US",88879,195,3169315,36093,"25,010.73 per 100,000 "
"Puerto Rico, US",77294,54,562863,4227,"17,624.20 per 100,000 "
"Massachusetts, US",69929,191,1779829,20334,"25,822.68 per 100,000 "
"New Jersey, US",69410,188,2281655,33482,"25,687.98 per 100,000 "
"Texas, US",62994,496,6844247,88161,"23,604.20 per 100,000 "
"Michigan, US",51626,288,2444891,36064,"24,481.09 per 100,000 "
"Pennsylvania, US",41340,329,2829027,44733,"22,098.34 per 100,000 "
"Washington, US",41006,150,1508065,12716,"19,804.15 per 100,000 "
"Virginia, US",39633,421,1715478,20280,"20,098.11 per 100,000 "
"North Carolina, US",39319,1320,2673326,24577,"25,489.17 per 100,000 "
"Colorado, US",33945,503,1389827,12487,"24,134.24 per 100,000 "
"Wisconsin, US",32882,120,1623087,14464,"27,876.43 per 100,000 "
"Ohio, US",31442,85,2708071,38493,"23,167.49 per 100,000 "
"Minnesota, US",30730,125,1463955,12805,"25,958.34 per 100,000 "
"Connecticut, US",25278,73,766172,10874,"21,489.77 per 100,000 "
"Maryland, US",24418,115,1039776,14486,"17,198.66 per 100,000 "
"Oregon, US",22725,232,729412,7528,"17,293.92 per 100,000 "
"Georgia, US",18582,637,2521664,37969,"23,750.25 per 100,000 "
"Indiana, US",14385,130,1707085,23614,"25,356.94 per 100,000 "
"Kentucky, US",12938,536,1331403,15670,"29,800.82 per 100,000 "
"Rhode Island, US",12525,19,375897,3544,"35,483.37 per 100,000 "
"Maine, US",12247,95,249728,2316,"18,578.02 per 100,000 "
"Arizona, US",11415,508,2025435,30189,"27,826.81 per 100,000 "
"Hawaii, US",10682,46,252654,1428,"17,844.41 per 100,000 "
"New Hampshire, US",9533,29,313288,2487,"23,040.78 per 100,000 "
"Tennessee, US",8771,178,2031533,26206,"29,747.86 per 100,000 "
"Vermont, US",8108,22,126099,642,"20,208.53 per 100,000 "
"Kansas, US",7077,190,778729,8691,"26,730.01 per 100,000 "
"Utah, US",6858,30,935479,4760,"29,179.39 per 100,000 "
"Oklahoma, US",6835,300,1042136,15940,"26,336.71 per 100,000 "
"Nevada, US",6735,644,714715,10780,"23,203.86 per 100,000 "
"Louisiana, US",6122,99,1175460,17276,"25,285.27 per 100,000 "
"Iowa, US",6015,79,765490,9533,"24,262.22 per 100,000 "
"Alaska, US",5791,25,254466,1253,"34,784.74 per 100,000 "
"Alabama, US",5667,225,1302397,19601,"26,562.27 per 100,000 "
"Delaware, US",5368,57,264376,2928,"27,149.90 per 100,000 "
"Missouri, US",5199,51,1423021,20228,"23,185.95 per 100,000 "
"New Mexico, US",4999,196,523940,7556,"24,987.25 per 100,000 "
"South Carolina, US",4566,117,1474272,17767,"28,633.79 per 100,000 "
"West Virginia, US",4516,127,502930,6880,"28,062.99 per 100,000 "
"District of Columbia, US",4340,7,141943,1340,"20,112.39 per 100,000 "
"Arkansas, US",3234,103,836829,11404,"27,729.73 per 100,000 "
"Mississippi, US",2897,41,798721,12454,"26,837.40 per 100,000 "
"Nebraska, US",2760,41,480805,4216,"24,855.41 per 100,000 "
"Idaho, US",2219,33,446856,4928,"25,005.02 per 100,000 "
"Montana, US",1749,123,274598,3378,"25,692.71 per 100,000 "
"North Dakota, US",1611,17,241739,2268,"31,721.70 per 100,000 "
"Virgin Islands, US",1403,2,17167,113,"16,003.84 per 100,000 "
"South Dakota, US",939,22,238185,2915,"26,923.93 per 100,000 "
"American Samoa, US",905,20,5923,28,"10,645.03 per 100,000 "
"Guam, US",770,3,48323,355,"29,424.16 per 100,000 "
"Wyoming, US",464,18,156745,1814,"27,082.95 per 100,000 "
